Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,20.07,12.97,4.02,1.16,1.63,1.63,2.79,57.54,74.22
Brooklyn Nets,21.34,16.84,4.49,1.15,1.77,3.03,3.76,51.85,71.03
Boston Celtics,20.20,14.52,4.62,0.73,0.73,1.62,2.43,54.23,59.33
Charlotte Hornets,27.07,15.55,2.88,0.82,1.15,1.81,2.22,64.00,75.47
Chicago Bulls,22.27,13.64,3.62,0.92,1.54,1.77,2.08,58.77,61.41
Cleveland Cavaliers,21.92,16.27,4.91,0.67,2.35,1.61,2.21,60.15,75.65
Dallas Mavericks,20.21,14.08,4.74,1.07,1.07,1.53,2.90,50.92,60.59
Denver Nuggets,25.54,13.87,3.74,0.85,1.19,2.89,2.21,53.00,68.92
Detroit Pistons,25.25,15.58,4.34,1.14,1.55,3.19,2.62,60.15,67.68
Golden State Warriors,22.68,13.99,3.79,0.68,1.51,1.99,3.03,57.50,74.19
Houston Rockets,21.55,13.45,2.98,0.85,1.10,2.55,3.15,57.11,89.32
Indiana Pacers,26.87,18.08,3.20,0.69,1.19,1.44,2.19,54.39,78.35
Los Angeles Clippers,22.93,15.90,3.93,1.42,1.25,1.92,2.67,52.60,65.91
Los Angeles Lakers,23.07,12.47,5.34,2.26,1.86,2.26,2.34,54.39,67.22
Memphis Grizzlies,26.25,15.43,4.20,1.53,1.45,2.74,4.44,52.61,80.51
Miami Heat,21.80,13.39,3.84,0.78,1.21,0.64,2.49,55.21,82.81
Milwaukee Bucks,19.94,11.28,3.05,0.80,1.31,1.31,2.69,46.58,75.33
Minnesota Timberwolves,22.81,15.35,3.88,1.08,1.72,1.27,2.35,55.26,75.82
New Orleans Pelicans,23.29,15.70,3.66,1.24,0.98,1.96,2.87,58.79,77.74
New York Knicks,23.01,14.52,4.89,1.22,1.06,1.55,3.50,53.29,73.09
Oklahoma City Thunder,26.28,11.44,4.87,2.16,1.62,1.85,3.55,57.80,77.82
Orlando Magic,18.91,11.85,4.37,0.84,0.92,1.59,2.69,52.21,79.65
Philadelphia 76ers,22.81,16.46,5.29,1.25,0.59,2.91,3.57,55.29,84.37
Phoenix Suns,23.13,12.64,4.21,1.13,1.43,1.33,1.95,54.95,78.22
Portland Trail Blazers,23.50,17.41,4.73,1.18,2.78,2.19,3.21,58.80,63.64
Sacramento Kings,16.07,14.45,4.07,0.76,1.38,2.30,1.76,45.45,68.26
San Antonio Spurs,24.35,14.08,5.33,0.79,1.90,1.83,3.34,53.18,76.05
Toronto Raptors,26.62,18.33,5.25,1.19,1.47,2.48,3.68,58.46,72.70
Utah Jazz,25.95,15.55,5.49,1.20,1.71,2.92,2.32,59.88,74.25
Washington Wizards,25.85,15.48,3.66,0.69,1.52,2.55,2.97,56.96,86.19
