Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,21.52,9.56,4.47,2.75,1.55,1.33,1.94,46.95,82.35
Brooklyn Nets,22.53,10.55,4.76,2.01,1.13,1.19,2.16,49.69,78.59
Boston Celtics,20.46,9.51,3.99,2.50,0.85,0.63,2.06,46.20,74.40
Charlotte Hornets,23.52,11.25,4.47,2.41,1.45,0.87,2.61,47.80,76.09
Chicago Bulls,22.32,10.08,3.82,2.29,1.14,1.32,2.38,52.41,72.86
Cleveland Cavaliers,23.20,9.53,4.05,2.60,1.41,0.96,2.46,46.95,74.45
Dallas Mavericks,20.90,10.45,4.44,2.10,1.64,0.91,2.43,44.13,76.12
Denver Nuggets,24.29,10.46,3.89,2.47,1.45,1.10,2.47,48.74,73.61
Detroit Pistons,25.18,10.07,4.79,1.98,1.79,1.30,2.63,52.58,76.07
Golden State Warriors,25.22,11.14,4.31,3.25,1.54,1.51,3.28,49.09,77.64
Houston Rockets,23.84,11.92,4.34,2.31,1.37,1.77,2.37,49.61,75.79
Indiana Pacers,24.70,9.25,5.24,1.69,1.15,1.32,3.00,52.91,76.21
Los Angeles Clippers,23.45,9.08,5.18,2.11,1.44,1.29,1.85,51.51,72.75
Los Angeles Lakers,25.77,11.88,4.85,2.34,1.19,0.93,2.36,51.52,62.57
Memphis Grizzlies,20.43,10.74,5.08,1.98,1.56,1.14,2.70,47.29,75.00
Miami Heat,19.34,9.89,4.30,1.84,1.14,1.06,2.59,49.60,76.14
Milwaukee Bucks,21.74,9.22,3.54,2.60,1.40,0.96,2.00,45.92,69.36
Minnesota Timberwolves,20.25,8.90,3.25,1.71,1.44,1.22,2.54,47.31,73.05
New Orleans Pelicans,24.83,10.96,4.39,2.44,1.07,1.20,2.47,48.38,77.21
New York Knicks,24.61,9.12,4.89,2.69,1.11,1.05,2.64,54.49,67.44
Oklahoma City Thunder,24.19,11.86,4.40,1.87,1.40,1.07,2.71,51.84,76.28
Orlando Magic,19.96,8.91,3.98,1.68,1.38,0.99,2.60,50.33,82.95
Philadelphia 76ers,21.89,11.60,4.58,2.51,0.91,1.46,3.48,48.40,76.02
Phoenix Suns,23.17,9.84,3.89,2.27,1.79,0.94,2.38,44.96,74.18
Portland Trail Blazers,22.50,8.68,3.80,2.30,1.46,1.46,2.61,46.72,80.16
Sacramento Kings,24.45,10.98,4.58,2.00,1.42,1.09,3.12,48.70,80.83
San Antonio Spurs,19.01,9.81,4.87,1.84,1.56,1.01,2.00,51.38,66.21
Toronto Raptors,27.03,10.89,4.70,2.16,1.45,1.86,2.10,53.99,72.06
Utah Jazz,25.17,8.60,5.12,3.13,1.69,1.34,2.01,50.16,71.60
Washington Wizards,25.51,9.99,5.81,1.69,1.69,1.60,2.41,51.83,67.85
