Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.56,6.82,4.59,3.19,1.16,0.79,2.69,46.23,86.02
Brooklyn Nets,19.32,7.78,3.79,2.48,1.31,0.52,1.95,45.78,79.69
Boston Celtics,19.28,7.52,3.82,2.78,1.35,0.37,1.99,45.59,87.83
Charlotte Hornets,21.15,6.79,4.08,2.77,1.02,0.52,1.83,45.36,83.94
Chicago Bulls,21.69,6.44,4.48,3.65,1.72,0.65,2.03,47.05,76.45
Cleveland Cavaliers,23.48,7.58,4.44,3.05,1.39,0.48,2.09,50.39,79.65
Dallas Mavericks,19.34,7.71,4.12,2.98,1.22,0.87,1.98,39.96,79.03
Denver Nuggets,16.55,7.72,3.22,1.59,1.20,0.61,2.18,42.43,75.78
Detroit Pistons,21.47,8.24,4.69,2.73,1.70,0.97,2.28,44.44,78.02
Golden State Warriors,20.33,8.61,4.04,2.69,1.13,0.98,1.90,41.65,82.96
Houston Rockets,16.95,7.97,4.40,1.84,1.96,0.92,1.93,38.60,80.69
Indiana Pacers,21.84,7.09,3.87,2.15,1.19,0.70,1.69,48.83,75.35
Los Angeles Clippers,19.47,7.06,5.10,2.53,1.68,0.74,1.57,44.49,78.26
Los Angeles Lakers,21.40,7.29,3.97,3.28,1.10,0.97,1.89,45.26,92.20
Memphis Grizzlies,21.39,9.30,3.80,2.94,1.88,0.83,2.20,45.49,80.76
Miami Heat,20.67,7.77,3.02,3.21,1.08,0.89,2.54,43.26,82.12
Milwaukee Bucks,17.33,7.95,5.11,2.24,1.51,0.62,1.84,41.39,88.50
Minnesota Timberwolves,20.99,7.74,3.43,2.57,1.53,0.56,2.53,41.66,74.60
New Orleans Pelicans,18.52,7.32,4.62,2.74,0.97,0.83,3.02,40.75,78.04
New York Knicks,20.25,7.04,4.22,2.31,1.57,0.80,2.31,47.55,80.00
Oklahoma City Thunder,20.15,7.39,4.54,2.64,1.62,0.90,2.73,44.95,74.29
Orlando Magic,20.13,6.77,3.00,2.34,1.65,0.75,2.76,44.18,86.27
Philadelphia 76ers,20.77,7.69,3.69,2.56,1.84,0.74,2.51,45.14,83.25
Phoenix Suns,20.83,8.75,3.47,2.20,2.39,0.65,1.95,46.02,66.12
Portland Trail Blazers,21.50,8.39,4.31,2.19,1.75,1.32,1.97,49.49,77.89
Sacramento Kings,22.11,6.78,3.14,2.93,1.24,0.54,2.29,52.57,80.43
San Antonio Spurs,17.86,7.84,3.22,2.24,1.56,0.61,1.95,44.49,81.85
Toronto Raptors,24.96,8.21,4.64,4.00,1.44,1.13,1.96,48.53,82.84
Utah Jazz,22.01,6.54,4.32,3.23,1.30,0.87,1.61,47.44,85.22
Washington Wizards,20.90,7.63,4.64,2.19,1.99,1.08,2.19,47.22,74.95
