Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,18.83,5.31,5.43,2.65,2.14,1.13,1.89,40.40,73.75
Brooklyn Nets,18.91,5.72,5.19,2.39,1.73,0.66,1.46,41.01,82.30
Boston Celtics,17.82,6.53,4.15,3.11,1.63,0.44,1.33,44.98,89.86
Charlotte Hornets,19.71,6.36,6.98,2.87,1.37,0.62,2.49,43.97,80.83
Chicago Bulls,20.12,6.42,4.75,2.93,0.97,0.69,2.37,45.29,80.89
Cleveland Cavaliers,21.19,4.89,5.92,3.53,1.59,0.45,2.96,52.69,86.40
Dallas Mavericks,21.53,7.99,5.02,3.09,2.06,0.12,2.83,40.77,90.74
Denver Nuggets,20.89,4.58,4.69,2.98,1.81,0.63,2.34,40.32,80.96
Detroit Pistons,23.49,5.65,4.49,4.10,1.54,0.89,2.05,44.28,78.90
Golden State Warriors,22.24,4.94,6.89,3.25,0.78,0.39,3.38,43.64,84.62
Houston Rockets,28.98,6.39,4.18,3.19,0.55,0.33,2.53,50.80,90.76
Indiana Pacers,23.18,7.95,5.83,2.12,1.45,1.06,3.57,42.57,81.69
Los Angeles Clippers,17.44,7.17,2.86,2.39,1.91,1.07,2.15,40.12,82.27
Los Angeles Lakers,23.57,4.97,5.92,3.19,1.65,0.47,2.96,45.45,82.21
Memphis Grizzlies,19.58,4.10,5.07,3.38,0.96,0.96,2.05,43.46,73.93
Miami Heat,17.02,6.35,5.71,1.65,1.65,0.25,3.17,35.88,79.40
Milwaukee Bucks,24.69,6.93,4.03,4.66,2.01,0.75,1.38,46.55,85.00
Minnesota Timberwolves,18.70,8.18,4.56,2.10,1.05,0.23,2.80,43.82,84.94
New Orleans Pelicans,16.01,4.96,4.96,3.96,0.70,0.70,2.97,45.04,75.00
New York Knicks,18.35,7.18,5.41,2.98,1.65,0.99,2.10,50.80,71.86
Oklahoma City Thunder,20.44,4.97,6.21,4.00,2.48,0.96,3.17,42.13,77.23
Orlando Magic,14.16,3.86,3.86,2.25,1.77,0.64,2.89,41.78,72.32
Philadelphia 76ers,22.49,5.52,4.39,3.39,1.38,1.13,2.01,44.62,75.08
Phoenix Suns,18.90,6.44,3.27,3.27,2.18,0.65,2.18,43.78,91.94
Portland Trail Blazers,22.69,4.39,5.24,2.83,2.26,0.28,2.12,41.79,96.59
Sacramento Kings,21.72,5.13,3.92,2.61,1.85,0.54,2.29,41.33,85.93
San Antonio Spurs,24.48,7.60,6.29,2.85,1.78,0.95,1.90,43.83,94.67
Toronto Raptors,20.04,6.40,7.35,3.79,1.18,1.42,1.77,45.66,63.86
Utah Jazz,24.81,7.55,5.17,3.45,1.18,0.53,2.48,49.69,74.51
Washington Wizards,26.50,7.33,5.27,3.98,1.67,0.77,1.80,43.73,87.66
