Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.17,15.15,3.71,0.77,1.57,2.36,2.70,58.77,74.58
Brooklyn Nets,22.33,14.59,4.01,0.98,1.34,2.45,2.37,56.78,77.38
Boston Celtics,22.53,13.50,4.28,1.05,0.98,1.53,2.50,55.79,69.14
Charlotte Hornets,25.27,16.47,3.81,0.96,1.17,2.20,2.89,60.54,76.40
Chicago Bulls,22.36,14.28,4.41,1.15,1.23,2.09,2.30,55.70,68.47
Cleveland Cavaliers,21.03,15.31,4.01,0.97,1.46,2.21,2.67,54.30,74.47
Dallas Mavericks,24.04,15.15,4.40,1.31,1.39,1.65,2.82,55.06,69.98
Denver Nuggets,23.59,14.17,4.37,0.97,1.35,2.09,2.61,53.18,72.42
Detroit Pistons,23.39,15.10,4.53,0.76,1.56,3.17,2.83,58.89,74.96
Golden State Warriors,23.71,14.44,4.93,0.98,1.32,2.10,2.89,53.89,73.10
Houston Rockets,22.59,14.38,4.03,1.15,1.22,2.70,3.40,55.48,69.36
Indiana Pacers,23.37,15.12,4.41,0.68,1.22,2.22,3.04,54.97,74.20
Los Angeles Clippers,20.75,14.78,4.57,1.04,1.45,1.76,2.53,50.59,68.15
Los Angeles Lakers,21.75,14.65,4.77,1.42,1.61,2.13,2.81,52.96,68.64
Memphis Grizzlies,23.02,15.22,3.93,1.02,1.37,3.09,3.25,54.72,73.44
Miami Heat,20.31,14.19,3.35,0.94,1.15,1.66,2.31,54.55,72.02
Milwaukee Bucks,22.42,14.10,4.55,1.12,1.18,1.59,2.56,51.34,74.19
Minnesota Timberwolves,21.58,13.51,4.10,1.16,1.35,1.86,2.49,52.41,72.63
New Orleans Pelicans,22.68,15.01,4.40,1.04,1.16,2.40,2.93,57.14,74.90
New York Knicks,20.12,13.47,3.58,1.11,1.18,2.06,2.75,54.09,70.69
Oklahoma City Thunder,23.53,15.45,4.80,1.11,1.18,2.18,3.29,55.08,74.46
Orlando Magic,20.50,13.51,3.75,0.62,1.46,2.08,3.01,57.32,72.12
Philadelphia 76ers,23.68,14.36,4.09,1.00,0.94,2.49,2.73,58.73,76.40
Phoenix Suns,21.62,13.15,4.62,0.87,1.33,1.61,2.71,53.35,74.10
Portland Trail Blazers,24.25,15.38,4.53,1.24,1.77,2.95,2.95,60.10,69.82
Sacramento Kings,19.70,14.48,4.53,0.68,1.30,2.04,2.19,51.87,74.54
San Antonio Spurs,26.31,15.58,3.98,0.94,1.43,2.09,2.65,57.27,75.56
Toronto Raptors,23.47,15.94,4.43,0.86,1.22,2.51,2.82,58.14,75.26
Utah Jazz,25.03,14.17,4.29,0.87,1.25,2.44,2.54,57.61,71.50
Washington Wizards,26.53,17.76,4.17,0.65,1.06,2.54,3.12,60.67,77.05
