Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.68,8.29,5.18,2.74,1.50,0.99,2.46,48.62,82.52
Brooklyn Nets,21.93,8.62,5.19,2.41,1.45,1.15,2.20,46.99,79.70
Boston Celtics,21.34,8.77,5.00,2.52,1.08,0.70,2.39,46.98,75.67
Charlotte Hornets,22.88,8.93,6.17,2.94,1.44,0.77,2.61,49.74,79.82
Chicago Bulls,22.82,8.23,5.49,2.99,1.54,0.88,2.29,47.96,77.04
Cleveland Cavaliers,22.80,8.50,5.47,2.77,1.77,0.71,2.40,49.91,80.42
Dallas Mavericks,20.94,8.48,5.09,2.39,1.60,0.83,2.64,43.71,78.34
Denver Nuggets,20.98,8.64,5.13,2.06,1.34,1.06,2.29,44.20,76.96
Detroit Pistons,22.56,8.87,5.58,2.42,1.76,1.27,2.35,48.62,72.31
Golden State Warriors,22.07,8.23,5.63,2.91,1.41,1.01,2.51,46.08,76.56
Houston Rockets,22.80,8.62,4.83,2.48,1.36,0.99,2.82,48.14,84.74
Indiana Pacers,23.99,8.89,4.81,1.97,1.15,0.98,2.45,48.73,81.07
Los Angeles Clippers,22.36,8.06,5.36,2.87,1.55,1.14,2.15,47.74,76.18
Los Angeles Lakers,24.01,8.37,6.11,2.98,1.69,0.93,2.42,48.59,73.21
Memphis Grizzlies,22.55,8.84,5.74,2.80,1.66,1.43,2.84,48.90,77.69
Miami Heat,19.62,8.04,5.05,2.25,1.09,0.72,2.68,44.86,79.46
Milwaukee Bucks,21.84,8.63,5.02,2.53,1.52,0.73,2.16,44.68,81.50
Minnesota Timberwolves,21.04,8.75,4.85,2.36,1.51,0.60,2.95,45.24,79.02
New Orleans Pelicans,21.23,8.53,5.07,2.73,1.08,1.02,2.77,46.12,80.10
New York Knicks,20.86,7.97,5.08,2.31,1.24,0.91,2.68,46.46,79.95
Oklahoma City Thunder,23.04,9.07,5.76,2.67,1.55,0.99,2.99,48.92,78.45
Orlando Magic,20.84,7.82,4.72,2.08,1.61,0.85,2.94,47.46,81.89
Philadelphia 76ers,21.24,8.50,5.28,2.47,1.14,1.24,2.93,46.06,81.47
Phoenix Suns,21.90,8.02,5.56,2.58,1.78,0.78,2.17,46.41,80.06
Portland Trail Blazers,22.61,8.49,5.21,2.34,2.04,1.20,2.28,47.87,80.90
Sacramento Kings,20.75,8.62,4.59,2.44,1.49,0.86,2.66,44.97,75.00
San Antonio Spurs,21.85,8.57,5.46,2.12,1.93,0.85,2.41,47.39,80.13
Toronto Raptors,24.40,9.22,5.86,2.90,1.70,1.41,2.82,50.77,74.14
Utah Jazz,24.09,8.76,6.18,3.20,1.78,1.29,2.22,49.64,76.15
Washington Wizards,23.67,9.28,5.24,2.29,1.74,1.23,2.46,47.92,80.39
