Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.47,6.58,4.63,3.23,1.21,0.94,2.64,45.82,87.53
Brooklyn Nets,19.33,8.07,4.03,2.34,1.32,0.50,2.00,46.56,79.84
Boston Celtics,19.19,7.82,3.60,2.66,1.31,0.43,1.75,45.16,88.21
Charlotte Hornets,21.60,7.01,4.16,2.81,1.04,0.53,1.80,47.00,86.67
Chicago Bulls,21.53,6.63,4.59,3.49,1.65,0.69,1.97,46.06,76.74
Cleveland Cavaliers,23.88,7.57,4.38,3.18,1.41,0.47,2.19,50.21,78.68
Dallas Mavericks,19.08,7.64,4.34,2.83,1.18,0.83,1.94,40.36,77.90
Denver Nuggets,15.67,7.61,3.09,1.52,1.24,0.65,2.24,43.12,70.76
Detroit Pistons,21.54,8.06,4.74,2.71,1.79,0.97,2.08,44.32,78.79
Golden State Warriors,20.57,8.63,3.99,2.75,1.30,0.87,1.99,42.30,81.54
Houston Rockets,17.02,8.12,4.37,1.76,1.89,0.96,1.98,38.84,80.25
Indiana Pacers,21.23,7.52,3.57,2.14,1.40,0.70,1.60,48.60,72.52
Los Angeles Clippers,20.68,6.88,4.88,2.69,1.59,0.69,1.64,46.49,77.19
Los Angeles Lakers,21.89,7.45,4.05,3.30,1.05,0.83,2.10,45.91,87.60
Memphis Grizzlies,21.21,9.33,3.88,3.00,1.82,0.78,2.05,45.19,80.23
Miami Heat,20.76,7.47,3.16,3.29,1.01,0.81,2.61,44.23,77.96
Milwaukee Bucks,18.12,7.43,4.70,2.25,1.56,0.61,1.63,41.94,84.30
Minnesota Timberwolves,21.13,7.45,3.65,2.40,1.52,0.67,2.26,42.39,73.96
New Orleans Pelicans,18.79,7.63,4.51,2.64,0.93,0.70,2.69,40.86,76.96
New York Knicks,20.69,7.02,3.86,2.63,1.66,0.85,2.03,47.47,79.94
Oklahoma City Thunder,19.91,7.23,4.45,2.51,1.70,0.78,2.48,45.52,74.55
Orlando Magic,18.56,6.74,2.82,2.19,1.65,0.78,2.61,42.17,83.65
Philadelphia 76ers,21.90,7.88,3.74,2.87,1.73,0.73,2.46,46.48,83.97
Phoenix Suns,20.98,8.51,3.35,2.41,2.32,0.57,1.84,44.54,68.80
Portland Trail Blazers,20.59,8.12,4.29,2.17,1.50,1.31,1.90,48.29,77.40
Sacramento Kings,22.21,6.84,3.37,2.71,1.40,0.55,2.29,52.44,83.86
San Antonio Spurs,18.75,8.30,3.66,2.23,1.49,0.71,2.37,45.91,80.90
Toronto Raptors,26.28,8.28,4.49,4.03,1.20,1.08,2.20,49.43,80.05
Utah Jazz,22.00,6.66,4.23,3.09,1.21,0.97,1.58,47.23,84.00
Washington Wizards,20.80,7.51,4.58,2.23,2.14,1.04,2.11,48.21,75.55
