Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.91,6.50,5.68,3.20,1.58,0.74,2.16,44.69,76.88
Brooklyn Nets,23.25,6.38,4.88,3.35,1.18,0.58,2.00,46.68,86.00
Boston Celtics,20.42,5.91,4.60,2.61,1.22,0.43,2.25,42.12,87.21
Charlotte Hornets,18.16,6.69,5.25,2.96,1.72,0.69,2.76,40.89,81.02
Chicago Bulls,22.44,6.28,5.97,3.49,1.28,0.55,2.21,41.68,82.70
Cleveland Cavaliers,20.93,5.94,5.05,3.32,1.36,0.55,2.51,42.82,82.55
Dallas Mavericks,21.69,6.50,5.22,3.31,1.66,0.47,2.67,43.49,78.93
Denver Nuggets,18.89,5.76,4.99,2.80,1.65,0.61,1.98,39.75,75.37
Detroit Pistons,22.37,5.04,6.02,3.67,2.01,1.03,2.18,44.37,88.22
Golden State Warriors,21.51,5.04,5.67,3.37,0.83,0.52,2.39,42.23,78.87
Houston Rockets,21.22,6.29,4.80,3.24,1.51,0.43,2.19,44.37,77.75
Indiana Pacers,25.07,7.02,5.18,2.82,1.02,0.86,2.67,46.22,83.56
Los Angeles Clippers,22.36,6.78,4.95,3.58,1.52,0.45,1.98,47.13,74.30
Los Angeles Lakers,22.80,5.52,6.08,3.14,1.28,0.72,2.37,46.64,87.02
Memphis Grizzlies,21.53,6.49,5.37,3.09,1.80,1.03,2.10,45.63,77.12
Miami Heat,18.40,5.57,5.75,2.71,1.27,0.57,2.38,40.57,77.15
Milwaukee Bucks,23.68,7.51,4.70,3.63,1.44,0.48,2.02,44.75,81.26
Minnesota Timberwolves,18.09,6.24,3.99,2.69,1.27,0.51,2.57,40.97,80.31
New Orleans Pelicans,20.76,5.31,4.80,3.92,1.48,0.55,2.94,40.90,87.92
New York Knicks,20.29,6.08,5.43,3.49,1.55,0.88,2.61,44.44,83.04
Oklahoma City Thunder,22.86,6.11,5.40,3.60,1.49,0.63,3.17,45.68,82.09
Orlando Magic,20.05,4.90,4.74,2.73,1.32,0.38,2.23,43.87,83.74
Philadelphia 76ers,20.53,5.12,4.65,3.43,1.14,0.93,1.89,44.12,80.06
Phoenix Suns,21.79,6.65,5.55,3.41,1.82,0.94,2.39,43.20,76.97
Portland Trail Blazers,19.84,6.07,4.22,2.77,2.04,0.89,2.12,44.31,82.67
Sacramento Kings,22.14,5.41,4.91,3.62,1.50,0.42,1.90,42.87,78.77
San Antonio Spurs,24.02,6.25,6.54,3.20,2.02,0.86,2.36,45.78,85.20
Toronto Raptors,21.93,5.99,5.27,3.52,1.82,0.64,2.05,45.95,79.92
Utah Jazz,25.01,6.85,5.95,4.03,1.69,0.89,2.14,50.47,80.69
Washington Wizards,24.48,7.89,5.44,3.16,1.53,0.81,2.27,47.75,83.08
