Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,23.80,9.44,4.66,2.51,1.43,1.31,2.75,45.99,81.57
Brooklyn Nets,22.80,10.64,4.97,2.54,0.81,1.15,1.85,51.96,65.33
Boston Celtics,25.13,11.25,3.94,3.65,0.58,0.43,1.89,49.24,57.47
Charlotte Hornets,26.06,8.29,5.67,3.93,1.01,0.00,2.03,56.93,66.41
Chicago Bulls,20.72,9.76,4.41,2.67,1.06,1.06,2.40,47.38,84.54
Cleveland Cavaliers,21.82,6.82,3.51,3.20,2.06,0.82,2.48,48.42,72.04
Dallas Mavericks,19.21,10.02,3.96,2.29,1.87,0.62,1.67,37.33,86.27
Denver Nuggets,21.30,11.06,4.23,2.23,1.17,1.88,1.88,48.90,78.42
Detroit Pistons,25.42,10.55,5.08,0.91,1.59,0.75,2.50,58.90,66.98
Golden State Warriors,26.05,13.88,3.04,4.94,1.33,1.61,3.89,49.21,66.76
Houston Rockets,19.31,9.65,3.51,3.16,1.58,1.40,3.51,46.15,88.61
Indiana Pacers,25.77,7.02,6.12,2.16,1.17,1.26,2.79,51.94,80.00
Los Angeles Clippers,24.85,8.77,4.35,2.59,1.68,1.61,2.03,56.81,80.49
Los Angeles Lakers,27.92,13.42,3.72,1.99,1.46,0.93,2.39,51.93,55.75
Memphis Grizzlies,22.18,10.79,6.29,2.24,1.64,1.34,2.69,51.79,58.53
Miami Heat,17.60,8.57,3.66,1.71,0.93,0.85,3.11,44.58,71.84
Milwaukee Bucks,19.43,9.53,4.32,1.32,1.23,0.17,1.41,44.83,75.41
Minnesota Timberwolves,17.94,9.26,2.85,1.38,2.85,1.47,3.15,50.00,55.98
New Orleans Pelicans,24.14,11.08,5.01,1.77,1.25,0.62,3.24,54.09,76.48
New York Knicks,18.50,7.54,7.00,1.97,0.89,1.25,1.61,50.63,69.49
Oklahoma City Thunder,27.59,14.74,5.36,1.02,1.89,0.94,3.62,58.36,71.91
Orlando Magic,20.04,8.75,4.06,1.90,1.77,1.01,2.91,50.00,68.47
Philadelphia 76ers,26.16,7.31,4.76,4.21,0.77,1.21,4.21,52.58,71.84
Phoenix Suns,25.26,9.75,3.84,1.77,1.62,1.47,2.51,48.06,79.54
Portland Trail Blazers,25.93,9.46,4.35,2.65,1.51,2.08,1.70,48.57,87.44
Sacramento Kings,26.34,9.98,3.47,3.47,1.15,1.30,2.75,50.77,83.93
San Antonio Spurs,24.77,11.62,6.22,2.62,2.35,0.96,1.79,61.83,80.00
Toronto Raptors,24.82,11.63,5.68,1.55,1.93,1.93,2.97,57.96,64.50
Utah Jazz,21.07,9.00,4.61,2.72,2.60,1.53,2.13,45.57,74.92
Washington Wizards,20.75,11.49,4.63,1.20,1.20,1.54,1.20,50.96,54.38
