Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,30.86,7.40,6.89,4.39,2.00,0.50,3.76,47.84,86.76
Brooklyn Nets,26.47,5.47,8.60,3.78,1.95,0.52,2.34,50.00,75.00
Boston Celtics,27.29,6.33,8.89,3.46,1.50,0.45,2.26,43.43,74.69
Charlotte Hornets,20.55,6.02,9.31,2.60,1.50,0.41,3.01,46.07,72.36
Chicago Bulls,28.38,6.09,8.46,4.60,1.48,0.00,2.97,45.03,85.58
Cleveland Cavaliers,18.68,4.40,7.09,2.10,1.34,0.00,1.82,39.45,96.07
Dallas Mavericks,22.86,6.39,7.10,3.31,2.13,0.71,2.96,42.35,91.18
Denver Nuggets,21.07,7.53,9.63,2.51,1.39,0.55,3.07,37.10,90.58
Detroit Pistons,12.10,5.22,6.23,1.55,2.75,1.10,2.56,35.28,75.98
Golden State Warriors,21.03,6.96,7.92,3.00,1.63,0.54,2.86,44.39,80.06
Houston Rockets,31.44,8.24,7.47,3.86,1.67,0.77,4.76,54.11,76.89
Indiana Pacers,23.70,4.94,7.47,1.90,1.14,1.14,2.53,48.01,85.75
Los Angeles Clippers,23.02,5.24,9.61,3.20,1.45,1.02,2.47,39.85,84.66
Los Angeles Lakers,28.60,7.52,11.50,3.44,2.58,0.21,2.90,46.30,75.88
Memphis Grizzlies,24.01,6.31,8.37,4.11,2.46,0.96,3.97,41.83,90.02
Miami Heat,20.68,6.36,7.48,2.43,0.84,0.74,3.65,44.38,87.50
Milwaukee Bucks,23.19,8.14,8.76,1.85,2.46,0.74,4.31,39.88,86.04
Minnesota Timberwolves,25.69,7.91,9.18,3.74,1.53,0.00,3.23,42.08,96.15
New Orleans Pelicans,24.15,4.89,7.18,3.89,1.99,0.49,1.89,47.82,72.90
New York Knicks,24.68,5.08,5.68,3.59,1.49,0.59,2.84,46.30,89.96
Oklahoma City Thunder,20.02,6.87,8.51,2.68,1.34,0.29,1.79,42.37,94.09
Orlando Magic,24.91,8.65,8.18,3.15,2.80,0.46,3.74,42.10,87.52
Philadelphia 76ers,21.38,5.97,11.59,1.91,1.55,0.83,2.03,40.84,90.58
Phoenix Suns,19.17,5.40,8.85,1.96,1.47,0.49,2.45,42.54,93.01
Portland Trail Blazers,25.41,4.96,8.03,3.35,1.89,0.73,2.77,42.04,82.78
Sacramento Kings,22.67,7.00,7.89,3.56,0.89,0.00,3.56,42.23,78.29
San Antonio Spurs,24.99,5.12,6.40,3.20,1.60,0.80,3.52,47.35,83.33
Toronto Raptors,26.86,4.16,8.47,5.60,1.43,0.71,3.44,48.83,90.82
Utah Jazz,24.49,7.50,12.59,3.82,1.84,0.99,4.10,46.14,81.24
Washington Wizards,21.13,5.98,5.98,2.80,2.03,0.89,1.90,43.71,89.43
